"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","84","","test_Lesson","TestLesson","","","新增课程用例",""
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","8","","test_Lesson","TestLesson","","","新增课程用例",""
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","0","","test_Lesson","TestLesson","","","删除课程用例",""
"failed","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","4","","test_Lesson","TestLesson","","","列出课程用例","列出课程"
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","0","","test_Lesson","TestLesson","","","删除课程用例",""
"passed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","101","","test_Lesson","TestLesson","","","新增课程用例",""
"passed","Sat Nov 14 21:32:03 CST 2020","Sat Nov 14 21:32:03 CST 2020","90","","test_Lesson","TestLesson","","","新增课程用例",""
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","11","","test_Lesson","TestLesson","","","新增课程用例",""
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","45","","test_Lesson","TestLesson","","","修改课程用例",""
"passed","Sat Nov 14 21:32:03 CST 2020","Sat Nov 14 21:32:03 CST 2020","16","","test_Lesson","TestLesson","","","新增课程用例",""
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","54","","test_Lesson","TestLesson","","","修改课程用例",""
"passed","Sat Nov 14 21:32:07 CST 2020","Sat Nov 14 21:32:07 CST 2020","93","","test_Login","","","","登录接口用例",""
"passed","Sat Nov 14 21:32:07 CST 2020","Sat Nov 14 21:32:07 CST 2020","16","","test_Login","","","","获取图片用例","这里只是做一个web ui自动化的截图效果"
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","4","","test_Lesson","TestLesson","","","列出课程用例","列出课程"
"broken","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","4","","test_Lesson","TestLesson","","","列出课程用例","列出课程"
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","42","","test_Lesson","TestLesson","","","修改课程用例",""
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","6","","test_Lesson","TestLesson","","","新增课程用例",""
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","21","","test_Lesson","TestLesson","","","新增课程用例",""
"passed","Sat Nov 14 21:32:07 CST 2020","Sat Nov 14 21:32:07 CST 2020","109","","test_Login","","","","登录接口用例",""
"passed","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","6","","test_Lesson","TestLesson","","","列出课程用例","列出课程"
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","5","","test_Lesson","TestLesson","","","列出课程用例","列出课程"
"passed","Sat Nov 14 21:32:07 CST 2020","Sat Nov 14 21:32:07 CST 2020","93","","test_Login","","","","登录接口用例",""
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","0","","test_Lesson","TestLesson","","","删除课程用例",""
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","15","","test_Lesson","TestLesson","","","新增课程用例",""
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","6","","test_Lesson","TestLesson","","","新增课程用例",""
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","4","","test_Lesson","TestLesson","","","列出课程用例","列出课程"
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","6","","test_Lesson","TestLesson","","","列出课程用例","列出课程"
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","0","","test_Lesson","TestLesson","","","删除课程用例",""
"passed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","95","","test_Lesson","TestLesson","","","新增课程用例",""
"passed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","190","","test_Lesson","TestLesson","","","新增课程用例",""
"passed","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","5","","test_Lesson","TestLesson","","","列出课程用例","列出课程"
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","5","","test_Lesson","TestLesson","","","新增课程用例",""
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","0","","test_Lesson","TestLesson","","","删除课程用例",""
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","6","","test_Lesson","TestLesson","","","新增课程用例",""
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","7","","test_Lesson","TestLesson","","","新增课程用例",""
"passed","Sat Nov 14 21:32:06 CST 2020","Sat Nov 14 21:32:07 CST 2020","361","","test_Login","","","","登录接口用例",""
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","6","","test_Lesson","TestLesson","","","新增课程用例",""
"passed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","5","","test_Lesson","TestLesson","","","列出课程用例","列出课程"
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","7","","test_Lesson","TestLesson","","","新增课程用例",""
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","0","","test_Lesson","TestLesson","","","删除课程用例",""
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","4","","test_Lesson","TestLesson","","","新增课程用例",""
"failed","Sat Nov 14 21:32:03 CST 2020","Sat Nov 14 21:32:03 CST 2020","6","","test_Lesson","TestLesson","","","新增课程用例",""
"failed","Sat Nov 14 21:32:03 CST 2020","Sat Nov 14 21:32:03 CST 2020","7","","test_Lesson","TestLesson","","","新增课程用例",""
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","8","","test_Lesson","TestLesson","","","新增课程用例",""
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","0","","test_Lesson","TestLesson","","","删除课程用例",""
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","10","","test_Lesson","TestLesson","","","新增课程用例",""
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","4","","test_Lesson","TestLesson","","","列出课程用例","列出课程"
"passed","Sat Nov 14 21:32:03 CST 2020","Sat Nov 14 21:32:04 CST 2020","83","","test_Lesson","TestLesson","","","新增课程用例",""
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","1","","test_Lesson","TestLesson","","","删除课程用例",""
"broken","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","4","","test_Lesson","TestLesson","","","列出课程用例","列出课程"
"failed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","6","","test_Lesson","TestLesson","","","新增课程用例",""
"passed","Sat Nov 14 21:32:05 CST 2020","Sat Nov 14 21:32:05 CST 2020","6","","test_Lesson","TestLesson","","","列出课程用例","列出课程"
"passed","Sat Nov 14 21:32:04 CST 2020","Sat Nov 14 21:32:04 CST 2020","89","","test_Lesson","TestLesson","","","新增课程用例",""
